epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,4.57022,0.72777,0.50746,1,0.62965,4.284e-05,4.284e-05,4.284e-05
2,10.7148,0.52552,1,1,0.51992,9.09822e-05,9.09822e-05,9.09822e-05
3,15.3895,0.29016,1,1,0.41434,0.000137145,0.000137145,0.000137145
4,19.9092,0.16066,1,1,0.36902,0.000181329,0.000181329,0.000181329
5,28.1571,0.07866,1,1,0.33389,0.000223533,0.000223533,0.000223533
6,34.6374,0.05912,1,1,0.31794,0.000263759,0.000263759,0.000263759
7,41.1076,0.06648,1,1,0.31538,0.000302005,0.000302005,0.000302005
8,48.472,0.03702,1,1,0.31463,0.000338272,0.000338272,0.000338272
9,54.8636,0.02378,1,1,0.31489,0.000372559,0.000372559,0.000372559
10,61.4504,0.02166,1,1,0.31521,0.000404868,0.000404868,0.000404868
11,68.3268,0.02718,1,1,0.31434,0.000435197,0.000435197,0.000435197
12,74.2871,0.02936,1,1,0.31364,0.000463547,0.000463547,0.000463547
13,79.8008,0.01332,1,1,0.31373,0.000489918,0.000489918,0.000489918
14,85.1962,0.03997,1,1,0.31368,0.00051431,0.00051431,0.00051431
15,90.7058,0.03248,1,1,0.31349,0.000516079,0.000516079,0.000516079
16,95.5987,0.06775,1,1,0.31349,0.000501942,0.000501942,0.000501942
17,100.057,0.05679,1,1,0.31402,0.000487805,0.000487805,0.000487805
18,104.463,0.02293,1,1,0.32258,0.000473668,0.000473668,0.000473668
19,109.012,0.03782,1,1,0.31625,0.00045953,0.00045953,0.00045953
20,113.632,0.01567,1,1,0.31741,0.000445393,0.000445393,0.000445393
21,118.063,0.02693,1,1,0.31416,0.000431256,0.000431256,0.000431256
22,122.46,0.01716,1,1,0.31365,0.000417119,0.000417119,0.000417119
23,126.995,0.0128,1,1,0.31367,0.000402982,0.000402982,0.000402982
24,131.37,0.01809,1,1,0.3134,0.000388844,0.000388844,0.000388844
25,135.75,0.01602,1,1,0.31337,0.000374707,0.000374707,0.000374707
26,140.177,0.02884,1,1,0.31342,0.00036057,0.00036057,0.00036057
27,144.622,0.00821,1,1,0.31367,0.000346433,0.000346433,0.000346433
28,148.964,0.04749,1,1,0.31505,0.000332296,0.000332296,0.000332296
29,153.498,0.01525,1,1,0.31578,0.000318158,0.000318158,0.000318158
30,158.022,0.06976,1,1,0.31515,0.000304021,0.000304021,0.000304021
31,162.41,0.00887,1,1,0.31372,0.000289884,0.000289884,0.000289884
32,166.806,0.00605,1,1,0.31344,0.000275747,0.000275747,0.000275747
33,171.185,0.01498,1,1,0.3133,0.00026161,0.00026161,0.00026161
34,175.616,0.01401,1,1,0.31329,0.000247472,0.000247472,0.000247472
35,179.989,0.01201,1,1,0.31329,0.000233335,0.000233335,0.000233335
36,184.33,0.00152,1,1,0.31338,0.000219198,0.000219198,0.000219198
37,188.694,0.01736,1,1,0.31327,0.000205061,0.000205061,0.000205061
38,193.028,0.0057,1,1,0.31328,0.000190924,0.000190924,0.000190924
39,197.38,0.00394,1,1,0.31333,0.000176786,0.000176786,0.000176786
40,201.776,0.00692,1,1,0.31335,0.000162649,0.000162649,0.000162649
41,206.163,0.01039,1,1,0.31335,0.000148512,0.000148512,0.000148512
42,210.612,0.02422,1,1,0.31397,0.000134375,0.000134375,0.000134375
43,215.108,0.00455,1,1,0.31461,0.000120238,0.000120238,0.000120238
44,219.478,0.00384,1,1,0.31597,0.0001061,0.0001061,0.0001061
45,223.828,0.00514,1,1,0.31606,9.19632e-05,9.19632e-05,9.19632e-05
46,228.343,0.00108,1,1,0.31596,7.7826e-05,7.7826e-05,7.7826e-05
47,232.659,0.00769,1,1,0.31731,6.36888e-05,6.36888e-05,6.36888e-05
48,237.128,0.00385,1,1,0.31492,4.95516e-05,4.95516e-05,4.95516e-05
49,241.473,0.00186,1,1,0.31444,3.54144e-05,3.54144e-05,3.54144e-05
50,245.809,0.02502,1,1,0.31495,2.12772e-05,2.12772e-05,2.12772e-05
