epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,304.961,0.60431,1.80915,1.09239,0.99088,0.50824,0.88574,0.74647,0.47794,2.46153,0.96984,0.000543319,0.000543319,0.000543319
2,601.987,0.55127,0.83479,1.01759,0.96395,0.82594,0.94962,0.72645,0.78692,1.95721,1.22869,0.00107723,0.00107723,0.00107723
3,888.938,0.54022,0.72464,1.00015,0.76612,0.84604,0.87713,0.7454,0.56968,1.62698,1.0245,0.00158913,0.00158913,0.00158913
4,1170.65,0.56164,0.69622,1.01524,0.9035,0.94843,0.96912,0.83892,0.55119,1.01095,0.96641,0.00156798,0.00156798,0.00156798
5,1453.84,0.4991,0.59853,0.96416,0.90252,0.92065,0.98299,0.88591,0.46374,0.98941,0.90147,0.00153497,0.00153497,0.00153497
6,1735.94,0.48766,0.53991,0.96624,0.97895,0.98111,0.99013,0.90097,0.44868,0.9451,0.89868,0.00150197,0.00150197,0.00150197
7,2016.37,0.50346,0.5233,0.97182,0.86828,0.89619,0.92634,0.7898,0.51259,0.9741,0.94735,0.00146896,0.00146896,0.00146896
8,2297.09,0.48027,0.49779,0.95219,0.98663,0.98042,0.99057,0.91388,0.39392,0.48261,0.85877,0.00143595,0.00143595,0.00143595
9,2577.5,0.457,0.45501,0.94039,0.97001,0.93778,0.9824,0.91378,0.38612,0.55459,0.86563,0.00140295,0.00140295,0.00140295
10,2858.89,0.46378,0.4464,0.95483,0.97776,0.97438,0.98868,0.92778,0.38206,0.47616,0.83889,0.00136994,0.00136994,0.00136994
11,3140.46,0.45198,0.42097,0.94972,0.93476,0.97165,0.98587,0.92138,0.35995,0.51918,0.83732,0.00133693,0.00133693,0.00133693
12,3421.14,0.45203,0.42013,0.95279,0.9816,0.94479,0.98817,0.91811,0.37555,0.49515,0.83615,0.00130393,0.00130393,0.00130393
13,3701.79,0.42704,0.38904,0.93491,0.9798,0.98742,0.98951,0.93216,0.34762,0.36513,0.82053,0.00127092,0.00127092,0.00127092
14,3983.04,0.42297,0.37536,0.93292,0.98568,0.98634,0.9888,0.93952,0.33798,0.35134,0.81338,0.00123791,0.00123791,0.00123791
15,4263.29,0.43596,0.38756,0.93679,0.74786,0.75057,0.78861,0.52031,1.04791,1.07687,1.57738,0.00120491,0.00120491,0.00120491
16,4543.18,0.40527,0.36442,0.92215,0.98264,0.98563,0.99045,0.93782,0.3491,0.36225,0.82634,0.0011719,0.0011719,0.0011719
17,4823.45,0.41905,0.36426,0.92681,0.98559,0.9939,0.98906,0.93363,0.34312,0.32475,0.83706,0.00113889,0.00113889,0.00113889
18,5105.78,0.41575,0.35872,0.93599,0.98514,0.99213,0.98844,0.92617,0.35641,0.34531,0.83557,0.00110589,0.00110589,0.00110589
19,5386.49,0.41429,0.355,0.92578,0.98314,0.9947,0.98893,0.933,0.35931,0.31408,0.82345,0.00107288,0.00107288,0.00107288
20,5668.84,0.40576,0.33301,0.93236,0.98437,0.98437,0.98869,0.93186,0.34038,0.31489,0.82582,0.00103987,0.00103987,0.00103987
21,5950.38,0.38708,0.34098,0.9242,0.98471,0.99292,0.98823,0.94031,0.34355,0.31241,0.83174,0.00100687,0.00100687,0.00100687
22,6232.01,0.37934,0.32701,0.91484,0.9864,0.99102,0.99054,0.93699,0.32865,0.28053,0.80305,0.000973861,0.000973861,0.000973861
23,6513.91,0.38441,0.31571,0.91852,0.98429,0.99286,0.98941,0.94139,0.32839,0.28817,0.79849,0.000940855,0.000940855,0.000940855
24,6796.26,0.37429,0.32521,0.9024,0.98612,0.99142,0.98957,0.9492,0.31176,0.27077,0.79357,0.000907848,0.000907848,0.000907848
25,7078.21,0.3779,0.31847,0.9189,0.98687,0.99353,0.98996,0.94807,0.31154,0.26383,0.78906,0.000874842,0.000874842,0.000874842
26,7360.62,0.3708,0.32383,0.91218,0.98791,0.99061,0.99055,0.95323,0.30186,0.30592,0.80034,0.000841835,0.000841835,0.000841835
