epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,7642.73,0.36894,0.30271,0.9011,0.98386,0.99243,0.98976,0.9402,0.32436,0.27796,0.79941,0.000808828,0.000808828,0.000808828
28,7924.64,0.36029,0.30521,0.90624,0.98833,0.99186,0.99047,0.95587,0.29285,0.25882,0.78568,0.000775822,0.000775822,0.000775822
29,8206.09,0.35985,0.29479,0.90726,0.98323,0.98976,0.99078,0.95739,0.29116,0.26181,0.7941,0.000742815,0.000742815,0.000742815
30,8488.42,0.36807,0.30348,0.9044,0.985,0.99216,0.99091,0.95962,0.29015,0.24458,0.78329,0.000709809,0.000709809,0.000709809
31,8770.62,0.34604,0.29494,0.90429,0.98596,0.99323,0.99038,0.95728,0.28735,0.25131,0.78787,0.000676802,0.000676802,0.000676802
32,9052.88,0.34696,0.29289,0.89746,0.98568,0.99325,0.99001,0.96256,0.27301,0.23996,0.7871,0.000643795,0.000643795,0.000643795
33,9336.76,0.348,0.29507,0.90942,0.98428,0.99352,0.99093,0.95803,0.28282,0.23769,0.78128,0.000610789,0.000610789,0.000610789
34,9624.77,0.34178,0.28464,0.8959,0.98481,0.99319,0.98963,0.96306,0.27252,0.23286,0.78439,0.000577782,0.000577782,0.000577782
35,9912.54,0.33786,0.28474,0.89928,0.98581,0.99303,0.99068,0.96289,0.27131,0.23258,0.78053,0.000544776,0.000544776,0.000544776
36,10200.4,0.3307,0.27321,0.89899,0.98424,0.99352,0.99064,0.9598,0.2865,0.23943,0.79003,0.000511769,0.000511769,0.000511769
37,10483.1,0.33755,0.27012,0.90321,0.98634,0.99286,0.98925,0.9643,0.26074,0.22567,0.7787,0.000478762,0.000478762,0.000478762
38,10764.9,0.32493,0.26369,0.89019,0.98792,0.98959,0.98925,0.96565,0.26048,0.22248,0.76753,0.000445756,0.000445756,0.000445756
39,11047.1,0.31643,0.25446,0.89058,0.98904,0.99286,0.98897,0.96187,0.2765,0.23379,0.79501,0.000412749,0.000412749,0.000412749
40,11329.7,0.32382,0.26673,0.89435,0.98584,0.99357,0.99072,0.96731,0.26374,0.23525,0.80059,0.000379743,0.000379743,0.000379743
41,11609.1,0.28763,0.2346,0.86009,0.98662,0.99418,0.99016,0.96484,0.25927,0.22753,0.7797,0.000346736,0.000346736,0.000346736
42,11889.1,0.2878,0.22998,0.85868,0.98865,0.99308,0.9904,0.96242,0.27118,0.23156,0.788,0.000313729,0.000313729,0.000313729
43,12169.6,0.2855,0.22015,0.8603,0.98962,0.99338,0.98943,0.96409,0.26102,0.22084,0.77449,0.000280723,0.000280723,0.000280723
44,12458.4,0.26764,0.21198,0.84858,0.98952,0.99094,0.99116,0.97171,0.25387,0.21423,0.77068,0.000247716,0.000247716,0.000247716
45,12739.6,0.27042,0.21175,0.84598,0.99019,0.99222,0.98989,0.96696,0.25134,0.21809,0.7805,0.00021471,0.00021471,0.00021471
46,13022.3,0.26529,0.20904,0.85026,0.98861,0.99287,0.99163,0.97176,0.24324,0.20891,0.77461,0.000181703,0.000181703,0.000181703
47,13303,0.25795,0.20099,0.8432,0.98809,0.99419,0.99067,0.9721,0.24062,0.20017,0.7679,0.000148696,0.000148696,0.000148696
48,13585.2,0.25973,0.2008,0.83997,0.98859,0.99287,0.9904,0.97176,0.24159,0.19918,0.7684,0.00011569,0.00011569,0.00011569
49,13865.8,0.2535,0.19804,0.84502,0.98961,0.99307,0.99063,0.97121,0.23743,0.19416,0.76458,8.26832e-05,8.26832e-05,8.26832e-05
50,14150.7,0.25214,0.19611,0.83637,0.98914,0.99327,0.99032,0.97306,0.23202,0.18983,0.76306,4.96766e-05,4.96766e-05,4.96766e-05
